epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.6446,0.6811,3.60472,1.10172,0.00373,0.98482,0.20993,0.15205,0.50413,3.26706,0.9025,0.000989583,0.000329861,0.000989583,0.000329861,0.000989583,0.000329861,0.000989583,0.000329861
2,62.5213,0.58795,2.64677,1.06823,0.42388,0.47285,0.47405,0.41885,0.48281,1.66363,0.92189,0.00195019,0.000650063,0.00195019,0.000650063,0.00195019,0.000650063,0.00195019,0.000650063
3,90.0255,0.54651,1.89403,1.04105,0.69752,0.78306,0.7638,0.69602,0.44703,1.12872,0.89963,0.0028712,0.000957065,0.0028712,0.000957065,0.0028712,0.000957065,0.0028712,0.000957065
4,115.477,0.51179,1.48651,1.02879,0.85387,0.81609,0.87079,0.77862,0.42509,1.08081,0.86895,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,144.655,0.47565,1.24048,0.98473,0.92709,0.8752,0.91379,0.8374,0.40153,0.80725,0.84759,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,170.996,0.45385,1.11918,0.96472,0.91661,0.90908,0.94497,0.86404,0.35633,0.67402,0.80446,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,199.875,0.43834,1.01488,0.95132,0.91248,0.93007,0.94609,0.8737,0.33591,0.64535,0.79772,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,229.253,0.42855,1.00283,0.94434,0.92895,0.93186,0.95438,0.88974,0.30281,0.58459,0.77665,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,262.858,0.39976,0.90047,0.92749,0.92303,0.94112,0.96776,0.89198,0.32612,0.55081,0.78363,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,292.503,0.40721,0.9052,0.929,0.95171,0.96001,0.97981,0.91976,0.28159,0.45381,0.76584,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,321.116,0.40024,0.86391,0.92925,0.94439,0.93986,0.96975,0.88333,0.35978,0.52256,0.78644,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,347.437,0.39501,0.84524,0.92177,0.95277,0.95211,0.97673,0.91576,0.28699,0.44384,0.76695,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,374.556,0.37515,0.84191,0.91695,0.96337,0.95409,0.97853,0.93209,0.2616,0.42279,0.7549,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,402.03,0.38653,0.81746,0.92205,0.95305,0.96333,0.97466,0.92244,0.26957,0.44314,0.75455,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
