epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.9656,0.58037,3.06593,1.04274,0.76468,0.75796,0.81386,0.74932,0.39972,1.53193,0.88156,0.0009875,0.000329167,0.0009875,0.000329167,0.0009875,0.000329167,0.0009875,0.000329167
2,79.8245,0.478,1.16109,0.97641,0.98404,0.96793,0.99178,0.93978,0.3506,0.4529,0.85654,0.00196782,0.000655941,0.00196782,0.000655941,0.00196782,0.000655941,0.00196782,0.000655941
3,116.129,0.42919,0.62229,0.92921,0.97323,0.99835,0.99221,0.94262,0.34182,0.25288,0.83998,0.00292835,0.000976116,0.00292835,0.000976116,0.00292835,0.000976116,0.00292835,0.000976116
4,150.517,0.42698,0.46756,0.92006,0.97335,0.9881,0.99082,0.93461,0.33495,0.2409,0.84574,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,184.398,0.42025,0.3843,0.92731,0.98873,0.99265,0.99435,0.94385,0.34851,0.24848,0.83803,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,219.272,0.41249,0.35413,0.91454,0.99643,0.99932,0.995,0.94123,0.33647,0.21518,0.83222,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,253.481,0.40757,0.32868,0.91416,0.99423,0.99725,0.995,0.95559,0.33146,0.22227,0.84707,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,288.47,0.41071,0.31941,0.92061,0.99596,0.99892,0.995,0.9494,0.3442,0.22003,0.8524,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,323.767,0.39954,0.29965,0.91052,0.9955,0.99979,0.995,0.95305,0.31691,0.20598,0.8287,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,358.534,0.38888,0.29094,0.90556,0.99529,0.99867,0.995,0.95562,0.32441,0.20354,0.82832,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
